CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,France,Germany,Spain,Female,Male,Exited
523,34,7,0.0,2,1,0,62030.06,0,0,1,0,1,0
545,26,1,0.0,2,1,1,199638.56,1,0,0,1,0,0
634,24,8,103097.85,1,1,1,157577.29,0,1,0,0,1,0
771,36,5,77846.9,1,0,0,99805.99,0,1,0,1,0,0
587,34,1,0.0,2,1,1,97932.68,0,0,1,1,0,0
681,79,0,0.0,2,0,1,170968.99,1,0,0,1,0,0
696,28,8,0.0,1,0,0,176713.47,0,0,1,0,1,0
766,41,0,0.0,2,0,1,34283.23,0,0,1,0,1,0
732,42,9,108748.08,2,1,1,65323.11,0,1,0,0,1,0
726,48,6,99906.19,1,1,0,64323.24,0,0,1,1,0,0
531,36,9,99240.51,1,1,0,123137.01,0,0,1,1,0,0
498,34,2,0.0,2,1,1,148528.24,1,0,0,0,1,0
791,35,7,52436.2,1,1,0,161051.75,0,1,0,1,0,0
811,34,1,149297.19,2,1,1,186339.74,0,1,0,1,0,0
777,53,10,0.0,2,1,0,189992.97,1,0,0,1,0,0
782,39,8,0.0,2,1,1,33949.67,1,0,0,0,1,0
703,42,9,63227.0,1,0,1,137316.32,0,1,0,0,1,0
583,27,7,0.0,2,1,0,51285.49,1,0,0,0,1,0
714,31,4,125169.26,1,1,1,106636.89,1,0,0,1,0,0
712,33,6,0.0,2,1,1,190686.16,1,0,0,1,0,0
629,35,7,156847.29,2,1,0,31824.29,0,1,0,0,1,0
680,30,8,141441.75,1,1,1,16278.97,1,0,0,1,0,0
716,35,4,144428.87,1,1,0,134132.65,1,0,0,0,1,0
667,40,1,146502.07,1,1,0,19162.89,0,0,1,1,0,0
840,43,7,0.0,2,1,0,90908.95,1,0,0,1,0,0
654,32,1,114510.85,1,1,1,126143.23,0,1,0,1,0,0
659,32,3,107594.11,2,1,1,102416.84,0,0,1,0,1,0
670,25,6,0.0,2,1,1,78358.94,0,0,1,0,1,0
613,45,1,187841.99,2,1,1,147224.27,1,0,0,1,0,0
737,41,1,101960.74,1,1,1,123547.28,1,0,0,0,1,0
520,58,3,0.0,2,0,1,32790.02,1,0,0,0,1,0
706,28,3,0.0,2,0,1,181543.67,0,0,1,0,1,0
443,29,9,99027.61,2,1,0,10940.4,0,1,0,1,0,0
640,68,9,0.0,2,1,1,199493.38,1,0,0,0,1,0
802,31,1,125013.72,1,1,1,187658.09,0,1,0,0,1,0
769,39,8,0.0,1,0,1,21016.0,1,0,0,1,0,0
690,36,7,101583.11,2,1,0,123775.15,1,0,0,0,1,0
709,28,8,124695.72,2,1,0,145251.35,0,1,0,0,1,0
560,66,9,0.0,1,1,1,15928.49,1,0,0,1,0,0
611,46,6,0.0,2,1,0,45886.33,0,0,1,0,1,0
712,29,7,147199.07,1,1,1,84932.4,0,1,0,1,0,0
557,33,3,54503.55,1,1,1,371.05,1,0,0,0,1,0
547,32,8,155726.85,1,1,0,67789.99,0,1,0,0,1,0
701,39,9,0.0,2,0,1,145894.9,1,0,0,1,0,0
605,52,1,63349.75,1,1,0,108887.44,1,0,0,0,1,0
718,36,9,0.0,1,1,0,45909.87,1,0,0,0,1,0
668,37,10,152958.29,2,1,1,159585.61,0,1,0,0,1,0
537,41,3,138306.34,1,1,0,106761.47,0,1,0,1,0,0
556,39,9,89588.35,1,1,1,94898.1,1,0,0,1,0,0
605,28,6,0.0,2,0,0,159508.52,1,0,0,1,0,0
586,38,2,0.0,2,1,0,87168.46,1,0,0,1,0,0
678,35,4,0.0,1,1,0,125518.32,1,0,0,1,0,0
596,39,9,0.0,1,1,0,48963.59,1,0,0,0,1,0
492,39,10,124576.65,2,1,0,148584.61,0,1,0,0,1,0
486,40,9,71340.09,1,1,0,76192.21,0,1,0,1,0,0
724,41,2,127892.57,2,0,1,199645.45,0,1,0,0,1,0
800,38,2,168190.33,2,1,0,68052.08,1,0,0,1,0,0
790,31,9,0.0,2,1,0,84126.75,1,0,0,1,0,0
722,37,2,0.0,1,0,0,120906.83,1,0,0,0,1,0
501,40,4,125832.2,1,1,1,100433.83,1,0,0,0,1,0
494,38,7,174937.64,1,1,0,40084.32,0,1,0,1,0,0
758,39,6,127357.76,1,0,1,56577.0,1,0,0,1,0,0
506,36,5,0.0,2,1,0,164253.35,1,0,0,0,1,0
637,37,8,0.0,1,1,1,186062.36,0,0,1,0,1,0
850,32,9,0.0,2,1,1,18924.92,0,0,1,1,0,0
536,35,8,0.0,2,1,0,64833.28,1,0,0,0,1,0
611,40,8,100812.33,2,1,0,147358.27,1,0,0,1,0,0
639,38,4,81550.94,2,0,1,118974.77,1,0,0,1,0,0
622,32,6,169089.38,2,1,0,101057.95,1,0,0,1,0,0
757,26,8,121581.56,2,1,1,127059.04,0,1,0,0,1,0
555,32,4,0.0,2,1,1,54405.79,0,0,1,0,1,0
638,44,9,77637.35,2,1,1,111346.22,0,0,1,0,1,0
684,40,6,137326.65,1,1,0,186976.6,0,1,0,1,0,0
733,22,5,0.0,2,1,1,117202.19,1,0,0,0,1,0
735,34,5,0.0,2,0,0,71095.41,0,0,1,0,1,0
793,38,9,0.0,2,1,0,88225.02,0,0,1,0,1,0
707,58,6,89685.92,1,0,1,126471.13,1,0,0,0,1,0
696,32,8,101160.99,1,1,1,115916.55,0,1,0,0,1,0
776,31,2,0.0,2,1,1,112349.51,1,0,0,1,0,0
701,43,2,0.0,2,1,1,165303.79,1,0,0,0,1,0
610,26,8,0.0,2,1,0,166031.08,1,0,0,0,1,0
519,57,2,119035.35,2,1,1,29871.79,0,0,1,1,0,0
729,32,6,93694.42,1,1,1,79919.13,1,0,0,0,1,0
543,35,10,59408.63,1,1,0,76773.53,0,0,1,0,1,0
639,35,10,128173.9,2,1,0,59093.39,0,1,0,0,1,0
833,37,8,151226.18,2,1,1,136129.49,1,0,0,0,1,0
597,42,4,64740.12,1,1,1,106841.12,1,0,0,1,0,0
842,44,2,112652.08,2,1,0,126644.98,0,0,1,1,0,0
587,38,0,0.0,2,1,0,47414.15,1,0,0,0,1,0
479,30,7,143964.36,2,1,0,41879.99,0,1,0,1,0,0
508,49,7,122451.46,2,1,1,75808.1,1,0,0,0,1,0
749,24,1,0.0,3,1,1,47911.03,1,0,0,0,1,0
587,40,5,138241.9,2,1,0,159418.1,0,1,0,0,1,0
850,70,5,0.0,1,1,1,705.18,0,0,1,1,0,0
650,61,1,152968.73,1,0,1,82970.69,0,0,1,0,1,0
543,36,4,0.0,2,1,1,141210.5,1,0,0,0,1,0
737,31,5,121192.22,2,1,1,74890.58,0,1,0,0,1,0
546,27,8,0.0,2,1,1,14858.1,1,0,0,1,0,0
593,41,6,0.0,1,1,0,65170.66,1,0,0,1,0,0
701,39,2,0.0,2,1,1,82526.92,1,0,0,0,1,0
586,57,3,0.0,2,0,1,6057.81,0,0,1,1,0,0
547,30,9,72392.41,1,1,0,77077.14,0,1,0,1,0,0
725,44,5,0.0,1,1,1,117356.14,1,0,0,0,1,0
700,38,8,134811.3,1,1,0,1299.75,1,0,0,0,1,0
779,26,4,174318.13,2,0,1,38296.21,0,0,1,1,0,0
646,39,9,111574.41,1,1,1,30838.51,0,1,0,0,1,0
687,72,9,0.0,1,0,1,69829.4,1,0,0,1,0,0
699,53,4,0.0,2,0,1,111307.98,1,0,0,0,1,0
584,28,10,0.0,2,1,0,19834.32,1,0,0,0,1,0
699,35,5,0.0,2,1,1,78397.24,1,0,0,0,1,0
495,30,10,129755.99,1,0,0,172749.65,1,0,0,0,1,0
650,27,6,0.0,2,1,0,1002.39,1,0,0,1,0,0
667,38,1,87202.38,1,1,1,77866.91,0,0,1,0,1,0
546,42,7,139070.51,1,1,1,86945.0,0,0,1,0,1,0
535,53,5,141616.55,2,1,1,75888.65,0,1,0,1,0,0
752,49,2,78653.84,1,1,0,7698.6,1,0,0,0,1,0
649,47,1,0.0,2,1,1,145593.85,1,0,0,0,1,0
799,28,3,142253.65,1,1,0,45042.56,0,0,1,1,0,0
696,51,5,0.0,2,1,0,55022.43,0,0,1,1,0,0
744,43,10,147832.15,1,0,1,24234.11,1,0,0,1,0,0
752,30,3,0.0,2,1,1,104991.28,1,0,0,1,0,0
652,38,6,0.0,2,1,1,145700.22,1,0,0,0,1,0
629,49,4,0.0,2,1,1,196335.48,1,0,0,1,0,0
601,54,1,131039.97,2,1,1,199661.5,0,1,0,1,0,0
544,64,9,113829.45,1,1,1,124341.49,1,0,0,0,1,0
751,30,6,0.0,2,1,0,15766.1,1,0,0,1,0,0
632,41,3,81877.38,1,1,1,33642.21,0,1,0,1,0,0
503,29,3,0.0,2,1,1,143954.99,1,0,0,0,1,0
642,26,0,0.0,1,0,0,47472.68,1,0,0,0,1,0
529,35,5,0.0,2,1,1,187288.5,0,0,1,0,1,0
563,39,5,0.0,2,1,1,17603.81,1,0,0,1,0,0
788,70,1,0.0,2,1,1,41610.62,0,0,1,1,0,0
591,58,5,128468.69,1,0,1,137254.55,0,0,1,0,1,0
583,24,9,135125.28,1,0,0,89801.9,1,0,0,0,1,0
715,31,2,112212.14,2,1,1,181600.72,1,0,0,1,0,0
641,36,5,66392.64,1,1,0,31106.67,1,0,0,1,0,0
767,43,1,76408.85,2,1,0,77837.63,1,0,0,0,1,0
664,57,6,0.0,2,1,1,15304.08,1,0,0,0,1,0
742,33,0,181656.51,1,1,1,107667.91,0,1,0,0,1,0
750,32,5,0.0,2,1,0,95611.47,1,0,0,1,0,0
574,36,1,0.0,2,0,1,71709.12,0,0,1,0,1,0
659,36,2,76190.48,2,1,1,149066.14,0,1,0,0,1,0
686,34,3,123971.51,2,1,0,147794.63,1,0,0,1,0,0
501,41,3,144260.5,1,1,0,172114.67,1,0,0,1,0,0
701,42,5,0.0,2,0,0,24210.56,0,0,1,1,0,0
621,43,5,0.0,1,1,1,47578.45,1,0,0,1,0,0
787,42,10,145988.65,2,1,1,79510.37,1,0,0,1,0,0
711,25,7,0.0,3,1,1,9679.28,1,0,0,1,0,0
591,24,6,147360.0,1,1,1,25310.82,1,0,0,0,1,0
525,36,2,114628.4,1,0,1,168290.06,1,0,0,0,1,0
725,46,6,0.0,2,1,0,161767.38,1,0,0,0,1,0
692,28,8,95059.02,2,1,0,44420.18,1,0,0,1,0,0
635,29,7,105405.97,1,1,1,149853.89,1,0,0,0,1,0
844,18,2,160980.03,1,0,0,145936.28,1,0,0,0,1,0
727,38,2,62276.99,1,1,1,59280.79,0,0,1,0,1,0
490,35,7,107749.03,1,1,1,3937.37,1,0,0,1,0,0
664,58,5,98668.18,1,1,1,60887.58,1,0,0,0,1,0
600,43,5,134022.06,1,1,0,194764.83,1,0,0,1,0,0
742,21,1,114292.48,1,1,0,31520.4,0,1,0,1,0,0
700,82,2,0.0,2,0,1,182055.36,1,0,0,1,0,0
684,41,2,119782.72,2,0,0,120284.67,0,0,1,0,1,0
717,31,4,129722.57,1,0,0,41176.6,1,0,0,0,1,0
767,36,3,139180.2,1,0,0,123880.19,1,0,0,0,1,0
648,33,7,134944.0,1,1,1,117036.38,1,0,0,0,1,0
774,28,1,71264.02,2,0,1,68759.57,1,0,0,1,0,0
517,41,2,0.0,2,0,1,75937.47,1,0,0,0,1,0
571,35,8,0.0,2,0,0,84569.13,1,0,0,1,0,0
792,36,5,92140.15,1,0,1,67468.67,0,0,1,0,1,0
562,35,0,0.0,2,1,0,119899.52,0,0,1,1,0,0
850,48,6,111962.99,1,1,0,111755.8,0,1,0,1,0,0
654,29,1,0.0,1,1,0,180345.44,1,0,0,0,1,0
761,36,8,108239.11,2,0,0,99444.02,0,1,0,0,1,0
671,44,0,84745.03,2,0,1,34673.98,0,1,0,1,0,0
793,33,0,0.0,1,0,0,175544.02,1,0,0,1,0,0
464,33,8,164284.72,2,1,1,3710.34,0,1,0,0,1,0
758,56,1,0.0,2,1,1,10643.38,0,0,1,0,1,0
630,31,2,112373.49,2,1,1,131167.98,0,1,0,1,0,0
577,39,10,0.0,2,1,0,10553.31,1,0,0,1,0,0
708,41,5,0.0,1,0,1,157003.99,0,0,1,1,0,0
559,34,2,137390.11,2,1,0,9677.0,1,0,0,0,1,0
507,36,4,83543.37,1,0,0,140134.43,1,0,0,0,1,0
640,44,3,137148.68,1,1,0,92381.01,1,0,0,0,1,0
714,21,6,86402.52,2,0,0,27330.59,0,1,0,0,1,0
646,46,1,170826.55,2,1,0,45041.32,0,1,0,0,1,0
523,32,4,0.0,2,1,0,167848.02,0,0,1,0,1,0
456,32,9,147506.25,1,1,1,135399.21,0,0,1,0,1,0
501,39,9,117301.66,1,0,0,182025.95,1,0,0,1,0,0
502,32,1,173340.83,1,0,1,122763.95,0,1,0,1,0,0
574,33,3,134348.57,1,1,0,63163.99,1,0,0,1,0,0
518,45,9,105525.65,2,1,1,73418.29,1,0,0,1,0,0
565,36,6,106192.1,1,1,0,149575.59,1,0,0,0,1,0
521,25,7,0.0,2,1,1,157878.67,1,0,0,0,1,0
739,38,0,128366.44,1,1,0,12796.43,0,0,1,0,1,0
435,32,2,57017.06,2,1,1,5907.11,0,1,0,0,1,0
728,32,5,61825.5,1,1,1,156124.93,0,1,0,0,1,0
718,35,8,0.0,2,1,0,94820.85,1,0,0,0,1,0
568,28,5,145105.64,2,1,0,185489.11,1,0,0,0,1,0
685,33,6,174912.72,1,1,1,43932.54,1,0,0,0,1,0
806,25,7,0.0,2,1,0,18461.9,0,0,1,0,1,0
569,35,10,124525.52,1,1,1,193793.78,1,0,0,0,1,0
784,35,3,0.0,2,0,0,81483.64,0,0,1,0,1,0
552,45,9,0.0,2,1,0,26752.56,0,0,1,0,1,0
729,44,5,0.0,2,0,1,9200.54,1,0,0,0,1,0
785,34,9,70302.48,1,1,1,68600.36,1,0,0,1,0,0
738,35,3,0.0,1,1,1,15650.73,0,0,1,0,1,0
520,61,8,133802.29,2,1,1,90304.01,0,1,0,0,1,0
659,67,4,145981.87,1,1,1,131043.2,1,0,0,0,1,0
635,48,8,130796.33,2,1,1,43250.3,1,0,0,1,0,0
694,39,0,107042.74,1,1,1,102284.2,0,0,1,0,1,0
771,67,8,0.0,2,1,1,51219.8,0,0,1,1,0,0
544,37,3,84496.71,1,0,0,79972.09,1,0,0,0,1,0
750,38,7,97257.41,2,0,1,179883.04,0,0,1,1,0,0
730,34,5,122453.37,2,1,0,138882.98,1,0,0,0,1,0
520,38,4,0.0,2,1,0,56388.63,1,0,0,1,0,0
652,48,8,133297.24,1,1,0,77764.37,1,0,0,1,0,0
550,46,7,0.0,2,1,0,130590.35,1,0,0,1,0,0
749,44,0,71497.79,2,0,0,151083.8,0,1,0,1,0,0
566,36,1,142120.91,1,1,0,79616.37,1,0,0,0,1,0
655,37,5,93147.0,2,1,0,66214.13,1,0,0,0,1,0
752,42,3,65046.08,2,0,1,140139.28,0,1,0,1,0,0
661,28,7,95357.49,1,0,0,102297.15,0,0,1,1,0,0
811,44,3,0.0,2,0,1,78439.73,0,0,1,0,1,0
811,28,4,167738.82,2,1,1,9903.42,0,1,0,1,0,0
725,39,1,50880.98,2,1,1,184023.54,0,1,0,0,1,0
561,33,6,0.0,2,1,0,45261.47,0,0,1,1,0,0
564,42,7,99824.45,1,1,1,36721.4,1,0,0,0,1,0
719,35,3,122964.88,1,1,1,138231.7,0,0,1,0,1,0
548,29,4,0.0,2,0,1,48673.18,1,0,0,1,0,0
496,43,3,0.0,2,0,1,199505.53,0,0,1,1,0,0
642,32,3,0.0,2,1,1,88698.83,1,0,0,0,1,0
737,35,0,133377.8,1,0,1,64050.19,0,1,0,0,1,0
828,34,9,0.0,2,1,1,81853.98,0,0,1,0,1,0
609,53,10,0.0,1,1,1,154642.91,0,0,1,0,1,0
830,40,4,0.0,2,0,1,81622.52,0,0,1,0,1,0
625,24,1,0.0,2,1,1,180969.55,1,0,0,1,0,0
523,30,1,83181.29,1,1,1,138176.78,1,0,0,0,1,0
714,72,3,0.0,1,1,1,86733.61,1,0,0,1,0,0
580,67,3,153946.14,1,1,1,7418.92,0,0,1,0,1,0
579,35,1,0.0,2,1,0,4460.2,1,0,0,0,1,0
675,33,3,0.0,2,1,0,45348.08,0,0,1,0,1,0
640,33,8,81677.22,2,0,0,34925.56,0,1,0,0,1,0
710,38,4,0.0,2,1,1,136390.88,0,0,1,1,0,0
503,37,6,0.0,2,0,0,136506.86,0,0,1,0,1,0
743,32,6,140348.56,2,1,1,163254.39,0,1,0,1,0,0
702,39,8,0.0,2,1,0,99654.13,0,0,1,0,1,0
658,29,3,145512.84,1,1,0,20207.02,1,0,0,0,1,0
677,41,8,146720.98,2,1,1,4195.84,0,1,0,1,0,0
461,35,8,0.0,1,1,0,132295.95,0,0,1,1,0,0
796,24,8,0.0,2,1,0,61349.37,1,0,0,0,1,0
850,22,2,0.0,2,1,1,9684.52,0,0,1,0,1,0
651,40,4,0.0,2,1,1,147715.83,1,0,0,0,1,0
790,26,4,141581.71,2,0,0,98309.27,1,0,0,1,0,0
494,38,7,0.0,2,1,1,6203.66,0,0,1,0,1,0
679,38,7,110555.37,2,1,0,46522.68,0,1,0,0,1,0
595,31,4,0.0,2,1,0,189995.86,1,0,0,0,1,0
848,31,4,90018.45,2,1,0,193132.98,0,1,0,0,1,0
809,24,4,0.0,2,1,0,193518.76,1,0,0,1,0,0
612,58,1,149641.53,1,1,1,115161.28,0,1,0,1,0,0
500,37,9,125822.21,1,1,0,111698.0,0,0,1,0,1,0
733,31,6,157791.07,2,0,0,177994.81,0,1,0,0,1,0
750,22,5,0.0,2,0,1,105125.65,1,0,0,0,1,0
583,42,4,0.0,2,1,0,17439.66,1,0,0,1,0,0
468,42,9,181627.14,2,1,0,172668.39,0,1,0,0,1,0
630,43,9,0.0,2,1,1,34338.04,1,0,0,0,1,0
546,28,8,0.0,1,1,0,159254.29,1,0,0,0,1,0
700,27,6,137963.07,1,0,0,8996.79,1,0,0,1,0,0
652,45,2,151421.44,1,0,1,115333.43,0,1,0,0,1,0
729,34,3,152303.8,1,1,0,12128.69,1,0,0,0,1,0
729,37,10,0.0,2,1,0,100862.54,0,0,1,0,1,0
615,30,9,0.0,1,1,0,87347.82,1,0,0,1,0,0
622,28,1,143124.63,2,1,0,81723.8,0,1,0,1,0,0
653,38,8,102133.38,1,1,1,166520.96,1,0,0,1,0,0
478,36,3,92363.3,2,1,0,44912.7,0,0,1,1,0,0
719,39,5,0.0,2,1,0,145759.7,0,0,1,0,1,0
626,21,1,0.0,2,1,0,66232.23,1,0,0,0,1,0
652,36,1,0.0,2,1,1,151314.98,1,0,0,0,1,0
670,35,3,103465.02,2,1,1,174627.06,1,0,0,1,0,0
797,29,1,0.0,2,1,1,132975.39,1,0,0,1,0,0
639,27,3,150795.81,1,0,1,85208.93,0,1,0,0,1,0
764,24,7,0.0,2,1,0,186105.99,1,0,0,1,0,0
676,43,2,0.0,1,1,1,55119.53,1,0,0,1,0,0
529,22,5,0.0,1,1,0,151169.83,1,0,0,0,1,0
630,40,7,0.0,2,1,1,34453.17,1,0,0,1,0,0
752,30,4,81523.38,1,1,1,36885.85,0,1,0,0,1,0
572,33,5,0.0,1,0,1,41139.05,1,0,0,0,1,0
791,37,2,163789.49,2,1,0,75832.53,1,0,0,0,1,0
500,47,8,128486.11,1,1,0,179227.12,0,0,1,1,0,0
557,28,7,146445.24,2,1,0,184317.74,1,0,0,1,0,0
575,31,6,0.0,2,1,1,95686.42,0,0,1,1,0,0
771,66,7,143773.07,1,1,1,130827.88,1,0,0,1,0,0
746,24,3,137492.35,2,0,1,170142.09,1,0,0,0,1,0
512,24,6,0.0,2,1,0,37654.31,1,0,0,0,1,0
689,28,3,0.0,2,1,1,192449.02,0,0,1,1,0,0
803,26,4,0.0,2,1,1,181208.47,1,0,0,1,0,0
548,32,5,175214.71,1,1,1,155165.61,0,1,0,0,1,0
624,46,3,0.0,2,1,1,62825.03,0,0,1,0,1,0
628,38,3,0.0,2,1,1,48924.73,1,0,0,1,0,0
633,33,3,0.0,2,1,0,191111.02,1,0,0,1,0,0
638,42,7,165679.92,1,0,0,32916.29,1,0,0,1,0,0
837,31,9,104678.62,1,0,1,50972.6,0,0,1,0,1,0
658,44,6,148481.09,1,1,0,130529.13,1,0,0,1,0,0
724,30,7,115315.04,1,1,0,15216.53,0,1,0,0,1,0
723,42,2,99095.73,1,1,1,17512.53,1,0,0,0,1,0
585,39,7,165610.41,2,0,0,131852.01,0,1,0,1,0,0
719,32,9,146605.27,1,1,1,77119.45,1,0,0,0,1,0
743,42,7,77002.2,2,1,1,80428.42,1,0,0,0,1,0
521,39,6,0.0,2,0,1,27375.15,1,0,0,1,0,0
622,35,8,0.0,2,1,1,131772.51,1,0,0,0,1,0
653,31,9,143321.97,1,1,0,83679.46,0,1,0,0,1,0
734,37,2,130404.92,1,0,0,34548.74,0,0,1,1,0,0
534,33,3,151233.62,1,0,0,199336.63,0,0,1,1,0,0
683,30,10,57657.49,1,0,0,79240.9,1,0,0,0,1,0
428,31,2,0.0,2,1,0,54487.43,1,0,0,1,0,0
591,30,8,124857.69,2,0,0,50485.7,0,0,1,0,1,0
748,27,2,90971.85,1,1,1,131662.47,0,1,0,1,0,0
613,46,8,167795.6,1,0,1,44390.38,1,0,0,1,0,0
849,37,7,143452.74,2,1,1,17294.12,0,1,0,0,1,0
625,52,5,164978.01,1,1,1,67788.49,1,0,0,0,1,0
670,42,3,81589.04,1,1,0,188227.8,0,0,1,0,1,0
521,37,2,0.0,2,1,1,86372.24,1,0,0,0,1,0
734,39,6,0.0,1,1,1,95135.27,0,0,1,0,1,0
555,41,10,113270.2,2,1,1,185387.14,0,1,0,0,1,0
769,26,7,0.0,2,1,0,176843.53,1,0,0,1,0,0
489,38,8,0.0,2,0,1,196990.79,1,0,0,0,1,0
715,35,4,40169.88,2,1,1,199857.47,0,0,1,1,0,0
668,32,10,92041.87,1,1,1,43595.9,0,1,0,1,0,0
571,23,10,151097.28,1,0,1,17163.75,1,0,0,1,0,0
758,42,7,0.0,2,0,1,76209.56,1,0,0,1,0,0
725,66,4,86459.8,1,1,1,141476.56,1,0,0,0,1,0
653,27,9,0.0,2,1,0,96429.29,1,0,0,1,0,0
794,45,8,88656.37,2,1,0,116547.31,0,0,1,0,1,0
561,29,9,120268.13,1,1,1,173870.39,1,0,0,0,1,0
705,46,7,0.0,2,1,0,117273.35,0,0,1,0,1,0
517,29,5,0.0,2,1,0,103402.88,0,0,1,1,0,0
684,27,9,122550.05,2,0,1,137835.82,1,0,0,1,0,0
707,32,9,0.0,2,0,0,30807.02,1,0,0,0,1,0
673,29,4,99097.36,1,1,1,9796.69,0,1,0,1,0,0
503,30,10,136622.55,2,0,0,47310.24,0,1,0,0,1,0
724,45,5,83888.54,1,0,1,34121.81,0,0,1,0,1,0
520,32,5,110029.77,1,1,0,56246.69,0,1,0,0,1,0
657,30,1,139762.13,2,1,1,23317.88,0,1,0,0,1,0
552,41,9,124349.34,1,1,0,135635.25,1,0,0,1,0,0
598,44,8,0.0,2,1,0,148487.9,0,0,1,0,1,0
670,31,9,0.0,1,0,1,76254.83,1,0,0,1,0,0
778,65,7,0.0,1,1,1,77867.23,1,0,0,1,0,0
683,43,8,0.0,1,1,0,96754.8,1,0,0,0,1,0
705,24,7,100169.51,1,1,0,121408.55,1,0,0,1,0,0
551,38,10,0.0,2,1,1,216.27,1,0,0,1,0,0
639,28,8,0.0,2,1,0,126561.07,0,0,1,0,1,0
465,25,2,78247.31,2,1,1,10472.31,1,0,0,0,1,0
578,23,10,88980.32,1,1,1,125222.36,1,0,0,0,1,0
